date_obj,Verac's%20armour%20set price
2015-03-26,2992458
2015-03-27,2992458
2015-03-28,3003542
2015-03-29,3037174
2015-03-30,3001556
2015-03-31,2977356
2015-04-01,2977356
2015-04-02,2944299
2015-04-03,3025320
2015-04-04,2985596
2015-04-05,2985596
2015-04-06,2970802
2015-04-07,2931368
2015-04-08,2931368
2015-04-09,2907093
2015-04-10,2856596
2015-04-11,2818293
2015-04-12,2785464
2015-04-13,2738914
2015-04-14,2738914
2015-04-15,2674163
2015-04-16,2599698
2015-04-17,2556670
2015-04-18,2523659
2015-04-19,2510505
2015-04-20,2510505
2015-04-21,2486932
2015-04-22,2486932
2015-04-23,2441750
2015-04-24,2441750
2015-04-25,2502196
2015-04-26,2601367
2015-04-27,2613226
2015-04-28,2568915
2015-04-29,2568915
2015-04-30,2537144
2015-05-01,2547473
2015-05-02,2556432
2015-05-03,2556432
2015-05-04,2564800
2015-05-05,2568651
2015-05-06,2549110
2015-05-07,2530336
2015-05-08,2530336
2015-05-09,2503596
2015-05-10,2512801
2015-05-11,2512801
2015-05-12,2484076
2015-05-13,2484076
2015-05-14,2457369
2015-05-15,2457369
2015-05-16,2436670
2015-05-17,2432586
2015-05-18,2427368
2015-05-19,2427368
2015-05-20,2430331
2015-05-21,2430331
2015-05-22,2379796
2015-05-23,2352070
2015-05-24,2400590
2015-05-25,2418471
2015-05-26,2423519
2015-05-27,2423519
2015-05-28,2370961
2015-05-29,2358181
2015-05-30,2349518
2015-05-31,2322600
2015-06-01,2311063
2015-06-02,2311063
2015-06-03,2281985
2015-06-04,2250139
2015-06-05,2259370
2015-06-06,2311371
2015-06-07,2348285
2015-06-08,2360404
2015-06-09,2397373
2015-06-10,2399624
2015-06-11,2370890
2015-06-12,2349146
2015-06-13,2351826
2015-06-14,2414856
2015-06-15,2381722
2015-06-16,2343207
2015-06-17,2340443
2015-06-18,2322529
2015-06-19,2272179
2015-06-20,2223444
2015-06-21,2194867
2015-06-22,2154447
2015-06-23,2115395
2015-06-24,2140545
2015-06-25,2140545
2015-06-26,2103280
2015-06-27,2103280
2015-06-28,2066749
2015-06-29,2038088
2015-06-30,2060048
2015-07-01,2036682
2015-07-02,2036682
2015-07-03,2113697
2015-07-04,2149802
2015-07-05,2213629
2015-07-06,2251251
2015-07-07,2289254
2015-07-08,2342046
2015-07-09,2342046
2015-07-10,2353139
2015-07-11,2341939
2015-07-12,2344161
2015-07-13,2287951
2015-07-14,2296186
2015-07-15,2329746
2015-07-16,2383097
2015-07-17,2380949
2015-07-18,2388780
2015-07-19,2383535
2015-07-20,2347410
2015-07-21,2321826
2015-07-22,2312100
2015-07-23,2312100
2015-07-24,2320037
2015-07-25,2405153
2015-07-26,2451124
2015-07-27,2572026
2015-07-28,2602758
2015-07-29,2551047
2015-07-30,2596726
2015-07-31,2611513
2015-08-01,2672998
2015-08-02,2667668
2015-08-03,2642812
2015-08-04,2602619
2015-08-05,2560558
2015-08-06,2615945
2015-08-07,2607678
2015-08-08,2657272
2015-08-09,2632293
2015-08-10,2633330
2015-08-11,2623175
2015-08-12,2623175
2015-08-13,2569940
2015-08-14,2521325
2015-08-15,2472782
2015-08-16,2518921
2015-08-17,2547170
2015-08-18,2586503
2015-08-19,2597356
2015-08-20,2656001
2015-08-21,2782802
2015-08-22,2887322
2015-08-23,2880871
2015-08-24,2878084
2015-08-25,2878084
2015-08-26,2877241
2015-08-27,2836036
2015-08-28,2790508
2015-08-29,2800296
2015-08-30,2786574
2015-08-31,2727978
2015-09-01,2719504
2015-09-02,2719504
2015-09-03,2700688
2015-09-04,2686827
2015-09-05,2688935
2015-09-06,2682492
2015-09-07,2673238
2015-09-08,2640874
2015-09-09,2588451
2015-09-10,2519236
2015-09-11,2488256
2015-09-12,2522888
2015-09-13,2567238
2015-09-14,2625622
2015-09-15,2628542
2015-09-16,2591864
2015-09-17,2602054
2015-09-18,2613958
2015-09-19,2656871
2015-09-20,2692684
2015-09-21,2768700
2015-09-22,2778241
2015-09-23,2779799
2015-09-24,2743091
2015-09-25,2714312
2015-09-27,2654590
2015-09-28,2644128
2015-09-29,2639209
2015-09-30,2617401
2015-10-05,2431755
2015-10-06,2400998
2015-10-07,2344347
2015-10-08,2244373
2015-10-09,2244971
2015-10-10,2244971
2015-10-11,2296160
2015-10-12,2346153
2015-10-13,2354187
2015-10-14,2365906
2015-10-15,2355016
2015-10-16,2321321
2015-10-17,2321321
2015-10-18,2376725
2015-10-19,2407187
2015-10-20,2356763
2015-10-22,2340372
2015-10-23,2371420
2015-10-24,2426609
2015-10-25,2546333
2015-10-26,2644101
2015-10-27,2658651
2015-10-29,2726711
2015-10-30,2723128
2015-10-31,2684970
2015-11-01,2684970
2015-11-02,2610703
2015-11-03,2484136
2015-11-04,2385538
2015-11-05,2293357
2015-11-06,2319533
2015-11-07,2349671
2015-11-08,2349671
2015-11-09,2327809
2015-11-10,2327809
2015-11-11,2306919
2015-11-12,2262387
2015-11-13,2253731
2015-11-14,2236936
2015-11-15,2196039
2015-11-16,2216384
2015-11-17,2177441
2015-11-18,2177441
2015-11-19,2194200
2015-11-20,2248478
