date_obj,Verac's%20flail price
2015-03-26,132483
2015-03-27,132483
2015-03-28,139108
2015-03-29,145706
2015-03-30,145706
2015-03-31,152992
2015-04-01,152992
2015-04-02,160642
2015-04-03,168176
2015-04-04,176585
2015-04-05,176585
2015-04-06,184579
2015-04-07,177083
2015-04-08,177083
2015-04-09,168758
2015-04-10,160892
2015-04-11,153612
2015-04-12,146816
2015-04-13,139978
2015-04-14,139978
2015-04-15,132981
2015-04-16,126851
2015-04-17,120766
2015-04-18,117110
2015-04-19,114057
2015-04-20,114057
2015-04-21,109073
2015-04-22,109073
2015-04-23,103794
2015-04-24,103794
2015-04-25,105051
2015-04-26,105051
2015-04-27,108705
2015-04-28,109350
2015-04-29,109350
2015-04-30,108600
2015-05-01,108600
2015-05-02,111480
2015-05-03,111480
2015-05-04,116270
2015-05-05,116270
2015-05-06,122084
2015-05-07,122084
2015-05-08,120301
2015-05-09,120301
2015-05-10,114668
2015-05-11,114668
2015-05-12,112898
2015-05-13,112898
2015-05-14,114042
2015-05-15,114042
2015-05-16,112299
2015-05-17,108490
2015-05-18,108490
2015-05-19,109186
2015-05-20,109186
2015-05-21,109186
2015-05-22,109904
2015-05-23,109904
2015-05-24,113938
2015-05-25,118824
2015-05-26,118824
2015-05-27,121863
2015-05-28,127391
2015-05-29,128023
2015-05-30,123030
2015-05-31,117881
2015-06-01,114404
2015-06-02,114404
2015-06-03,110663
2015-06-04,107999
2015-06-05,105732
2015-06-06,104174
2015-06-07,105961
2015-06-08,109451
2015-06-09,113381
2015-06-10,116519
2015-06-11,116519
2015-06-12,117454
2015-06-13,116993
2015-06-14,114820
2015-06-15,116060
2015-06-16,117953
2015-06-17,120486
2015-06-18,123725
2015-06-19,122524
2015-06-20,119311
2015-06-21,119311
2015-06-22,115126
2015-06-23,115126
2015-06-24,112143
2015-06-25,112143
2015-06-26,108645
2015-06-27,108645
2015-06-28,104420
2015-06-29,104420
2015-06-30,108026
2015-07-01,108453
2015-07-02,108453
2015-07-03,110855
2015-07-04,109770
2015-07-05,109215
2015-07-06,113734
2015-07-07,119421
2015-07-08,125393
2015-07-09,125393
2015-07-10,131663
2015-07-11,131663
2015-07-12,138210
2015-07-13,144891
2015-07-14,151982
2015-07-15,157452
2015-07-16,159122
2015-07-17,161330
2015-07-18,161330
2015-07-19,157675
2015-07-20,151568
2015-07-21,144938
2015-07-22,137891
2015-07-23,137891
2015-07-24,133410
2015-07-25,133410
2015-07-26,136094
2015-07-27,142857
2015-07-28,150000
2015-07-29,148326
2015-07-30,148326
2015-07-31,148985
2015-08-01,144365
2015-08-02,139352
2015-08-03,140264
2015-08-04,140264
2015-08-05,141026
2015-08-06,147676
2015-08-07,147676
2015-08-08,154951
2015-08-09,162661
2015-08-10,170795
2015-08-11,179335
2015-08-12,179335
2015-08-13,188219
2015-08-14,195188
