date_obj,Water%20battlestaff price
2015-03-26,9397
2015-03-27,9397
2015-03-28,9397
2015-03-29,9453
2015-03-30,9453
2015-03-31,9453
2015-04-01,9328
2015-04-02,9328
2015-04-03,9335
2015-04-04,9335
2015-04-05,9424
2015-04-06,9424
2015-04-07,9441
2015-04-08,9441
2015-04-09,9441
2015-04-10,9288
2015-04-11,9288
2015-04-12,9320
2015-04-13,9320
2015-04-14,9320
2015-04-15,9249
2015-04-16,9249
2015-04-17,9249
2015-04-18,9389
2015-04-19,9389
2015-04-20,9389
2015-04-21,9684
2015-04-22,9684
2015-04-23,9684
2015-04-24,9790
2015-04-25,9790
2015-04-26,9790
2015-04-27,9754
2015-04-28,9754
2015-04-29,9754
2015-04-30,9739
2015-05-01,9739
2015-05-02,9808
2015-05-03,9808
2015-05-04,9808
2015-05-05,9632
2015-05-06,9632
2015-05-07,9509
2015-05-08,9509
2015-05-09,9320
2015-05-10,9320
2015-05-11,9320
2015-05-12,9356
2015-05-13,9356
2015-05-14,9531
2015-05-15,9531
2015-05-16,9531
2015-05-17,9484
2015-05-18,9484
2015-05-19,9420
2015-05-20,9420
2015-05-21,9420
2015-05-22,9398
2015-05-23,9398
2015-05-24,9202
2015-05-25,9202
2015-05-26,9387
2015-05-27,9387
2015-05-28,9374
2015-05-29,9374
2015-05-30,9340
2015-05-31,9340
2015-06-01,9429
2015-06-02,9429
2015-06-03,9714
2015-06-04,9714
2015-06-05,9571
2015-06-06,9571
2015-06-07,9503
2015-06-08,9503
2015-06-09,9502
2015-06-10,9502
2015-06-11,9451
2015-06-12,9451
2015-06-13,9423
2015-06-14,9423
2015-06-15,9405
2015-06-16,9405
2015-06-17,9486
2015-06-18,9517
2015-06-19,9517
2015-06-20,9437
2015-06-21,9437
2015-06-22,9327
2015-06-23,9327
2015-06-24,9377
2015-06-25,9377
2015-06-26,9401
2015-06-27,9401
2015-06-28,9526
2015-06-29,9526
2015-06-30,9630
2015-07-01,9630
2015-07-02,9461
2015-07-03,9349
2015-07-04,9349
2015-07-05,9422
2015-07-06,9422
2015-07-07,9464
2015-07-08,9464
2015-07-09,9444
2015-07-10,9444
2015-07-11,9479
2015-07-12,9479
2015-07-13,9678
2015-07-14,9678
2015-07-15,9760
2015-07-16,9760
2015-07-17,9561
2015-07-18,9561
2015-07-19,9685
2015-07-20,9685
2015-07-21,9528
2015-07-22,9608
2015-07-23,9608
2015-07-24,9512
2015-07-25,9512
2015-07-26,9407
2015-07-27,9407
2015-07-28,9422
2015-07-29,9714
2015-07-30,9714
2015-07-31,9497
2015-08-01,9497
2015-08-02,9530
2015-08-03,9530
2015-08-04,9411
2015-08-05,9411
2015-08-06,9396
2015-08-07,9396
2015-08-08,9448
2015-08-09,9448
2015-08-10,9570
2015-08-11,9570
2015-08-12,9760
2015-08-13,9760
2015-08-14,9647
2015-08-15,9647
2015-08-16,9680
2015-08-17,9494
2015-08-18,9494
2015-08-19,9521
2015-08-20,9521
2015-08-21,9659
2015-08-22,9659
2015-08-23,9725
2015-08-24,9537
2015-08-25,9537
2015-08-26,9437
2015-08-27,9443
2015-08-28,9443
2015-08-29,9449
2015-08-30,9449
2015-08-31,9334
2015-09-01,9334
