date_obj,Weapon%20poison price
2015-03-26,547
2015-03-27,547
2015-03-28,520
2015-03-29,520
2015-03-30,520
2015-03-31,498
2015-04-01,498
2015-04-02,498
2015-04-03,498
2015-04-04,478
2015-04-05,478
2015-04-06,478
2015-04-07,478
2015-04-08,457
2015-04-09,457
2015-04-10,457
2015-04-11,457
2015-04-12,449
2015-04-13,449
2015-04-14,449
2015-04-15,449
2015-04-16,429
2015-04-17,429
2015-04-18,429
2015-04-19,429
2015-04-20,409
2015-04-21,409
2015-04-22,409
2015-04-23,409
2015-04-24,393
2015-04-25,393
2015-04-26,393
2015-04-27,393
2015-04-28,383
2015-04-29,383
2015-04-30,383
2015-05-01,383
2015-05-02,372
2015-05-03,372
2015-05-04,372
2015-05-05,372
2015-05-06,372
2015-05-07,365
2015-05-08,365
2015-05-09,365
2015-05-10,365
2015-05-11,365
2015-05-12,373
2015-05-13,373
2015-05-14,373
2015-05-15,373
2015-05-16,373
2015-05-17,387
2015-05-18,387
2015-05-19,387
2015-05-20,387
2015-05-21,387
2015-05-22,388
2015-05-23,388
2015-05-24,388
2015-05-25,388
2015-05-26,380
2015-05-27,380
2015-05-28,380
2015-05-29,380
2015-05-30,373
2015-05-31,373
2015-06-01,373
2015-06-02,373
2015-06-03,363
2015-06-04,363
2015-06-05,363
2015-06-06,363
2015-06-07,349
2015-06-08,349
2015-06-09,349
2015-06-10,349
2015-06-11,342
2015-06-12,342
2015-06-13,342
2015-06-14,342
2015-06-15,331
2015-06-16,331
2015-06-17,331
2015-06-18,331
2015-06-19,336
2015-06-20,336
2015-06-21,336
2015-06-22,336
2015-06-23,331
2015-06-24,331
2015-06-25,331
2015-06-26,331
2015-06-27,331
2015-06-28,319
2015-06-29,319
2015-06-30,319
2015-07-01,319
2015-07-02,319
2015-07-03,310
2015-07-04,310
2015-07-05,310
2015-07-06,310
2015-07-07,310
2015-07-08,304
2015-07-09,304
2015-07-10,304
2015-07-11,304
2015-07-12,304
2015-07-13,296
2015-07-14,296
2015-07-15,296
2015-07-16,296
2015-07-17,310
2015-07-18,310
2015-07-19,310
2015-07-20,310
2015-07-21,310
2015-07-22,313
2015-07-23,313
2015-07-24,313
2015-07-25,313
2015-07-26,313
2015-07-27,316
2015-07-28,316
2015-07-29,316
2015-07-30,316
2015-07-31,316
2015-08-01,329
2015-08-02,329
2015-08-03,329
2015-08-04,329
2015-08-05,335
2015-08-06,335
2015-08-07,335
2015-08-08,335
2015-08-09,347
2015-08-10,347
2015-08-11,347
2015-08-12,347
2015-08-13,347
2015-08-14,347
2015-08-15,347
2015-08-16,354
2015-08-17,354
2015-08-18,354
2015-08-19,354
2015-08-20,354
2015-08-21,354
2015-08-22,359
2015-08-23,359
2015-08-24,359
2015-08-25,359
2015-08-26,359
2015-08-27,359
2015-08-28,359
2015-08-29,362
2015-08-30,362
2015-08-31,362
2015-09-01,362
2015-09-02,362
2015-09-03,362
2015-09-04,362
2015-09-05,362
2015-09-06,353
2015-09-07,353
2015-09-08,353
2015-09-09,353
2015-09-10,353
2015-09-11,353
2015-09-12,353
2015-09-13,360
2015-09-14,360
2015-09-15,360
2015-09-16,360
2015-09-17,360
2015-09-18,360
2015-09-19,360
2015-09-20,364
2015-09-21,364
2015-09-22,364
2015-09-23,364
2015-09-24,364
2015-09-25,364
2015-09-27,364
2015-09-28,364
2015-09-29,364
2015-09-30,364
2015-10-05,364
2015-10-06,363
2015-10-07,363
2015-10-08,363
2015-10-09,363
2015-10-10,363
2015-10-11,363
2015-10-12,363
2015-10-13,354
2015-10-14,354
2015-10-15,354
2015-10-16,354
2015-10-17,354
2015-10-18,354
2015-10-19,354
2015-10-20,343
2015-10-22,343
2015-10-23,343
2015-10-24,343
2015-10-25,343
2015-10-26,343
2015-10-27,343
2015-10-29,335
2015-10-30,335
2015-10-31,335
2015-11-01,335
2015-11-02,335
2015-11-03,335
2015-11-04,335
2015-11-05,323
2015-11-06,323
2015-11-07,323
2015-11-08,323
2015-11-09,323
2015-11-10,323
2015-11-11,323
2015-11-12,323
2015-11-13,323
2015-11-14,318
2015-11-15,318
2015-11-16,318
2015-11-17,318
2015-11-18,318
2015-11-19,318
2015-11-20,318
2015-11-21,318
2015-11-22,319
2015-11-23,319
2015-11-24,319
2015-11-25,319
2015-11-26,319
2015-11-27,319
2015-11-28,319
2015-11-29,319
2015-11-30,317
2015-12-01,317
2015-12-02,317
2015-12-03,317
2015-12-04,317
2015-12-05,317
2015-12-06,317
2015-12-07,317
2015-12-08,312
2015-12-09,312
2015-12-10,312
2015-12-11,312
2015-12-13,312
2015-12-14,312
2015-12-15,310
2015-12-16,310
2015-12-17,310
2015-12-18,310
2015-12-19,310
2015-12-20,310
2015-12-21,310
2015-12-22,316
2015-12-23,316
2015-12-24,316
2015-12-25,316
2015-12-26,316
2015-12-27,316
2015-12-28,316
2015-12-29,306
2015-12-30,306
2015-12-31,306
2016-01-01,306
2016-01-02,306
2016-01-03,306
2016-01-04,308
2016-01-05,308
2016-01-06,308
2016-01-07,308
2016-01-08,308
2016-01-09,308
2016-01-10,308
2016-01-11,312
2016-01-12,312
2016-01-13,312
2016-01-14,312
2016-01-15,312
2016-01-16,312
2016-01-17,314
2016-01-18,314
2016-01-19,314
2016-01-20,314
2016-01-21,314
2016-01-22,314
2016-01-23,325
2016-01-24,325
2016-01-25,325
2016-01-26,325
2016-01-27,325
2016-01-28,325
2016-01-29,338
2016-01-30,338
2016-01-31,338
2016-02-01,338
2016-02-02,338
2016-02-03,338
2016-02-04,351
2016-02-05,351
2016-02-06,351
2016-02-07,351
2016-02-08,351
2016-02-09,351
2016-02-10,361
2016-02-11,361
2016-02-12,361
2016-02-13,361
2016-02-14,361
2016-02-15,361
2016-02-16,377
2016-02-17,377
2016-02-18,377
2016-02-19,377
2016-02-20,377
2016-02-21,377
2016-02-22,389
2016-02-23,389
2016-02-24,389
2016-02-25,389
2016-02-26,389
2016-02-27,404
2016-02-28,404
2016-02-29,404
2016-03-01,404
2016-03-02,404
2016-03-03,404
2016-03-04,421
2016-03-05,421
2016-03-06,421
2016-03-07,421
2016-03-08,421
2016-03-09,421
2016-03-10,433
2016-03-11,433
2016-03-12,433
2016-03-13,433
2016-03-14,433
2016-03-15,433
2016-03-16,450
2016-03-17,450
2016-03-18,450
2016-03-19,450
2016-03-20,450
2016-03-21,450
2016-03-22,463
2016-03-23,463
2016-03-24,463
2016-03-25,463
2016-03-26,463
2016-03-27,464
2016-03-28,464
2016-03-29,464
2016-03-30,464
2016-03-31,464
2016-04-01,464
2016-04-02,473
2016-04-03,473
2016-04-04,473
2016-04-05,473
2016-04-06,473
2016-04-07,473
2016-04-08,496
2016-04-09,496
2016-04-10,496
2016-04-11,496
2016-04-12,496
2016-04-13,496
2016-04-14,514
2016-04-15,514
2016-04-16,514
2016-04-17,514
2016-04-18,514
2016-04-19,513
2016-04-20,513
2016-04-21,513
2016-04-22,513
2016-04-23,513
2016-04-24,513
2016-04-25,512
2016-04-26,512
2016-04-27,512
2016-04-28,512
2016-04-29,512
2016-04-30,519
2016-05-01,519
2016-05-02,519
2016-05-03,519
2016-05-04,519
2016-05-05,530
2016-05-06,530
2016-05-07,530
2016-05-08,530
2016-05-09,530
2016-05-10,539
2016-05-11,539
2016-05-12,539
2016-05-13,539
2016-05-14,539
2016-05-15,520
2016-05-16,520
2016-05-17,520
2016-05-18,520
2016-05-19,520
2016-05-22,503
2016-05-23,503
2016-05-24,503
2016-05-25,486
2016-05-26,486
2016-05-27,486
2016-05-28,486
2016-05-29,486
2016-05-30,465
2016-05-31,465
2016-06-01,465
2016-06-02,465
2016-06-03,465
2016-06-04,456
2016-06-05,456
2016-06-06,456
2016-06-07,456
2016-06-08,456
2016-06-09,453
2016-06-10,453
2016-06-11,453
2016-06-12,453
2016-06-13,453
