date_obj,White%20berries price
2015-03-26,1184
2015-03-27,1184
2015-03-28,1145
2015-03-29,1120
2015-03-30,1064
2015-03-31,1010
2015-04-01,960
2015-04-02,912
2015-04-03,867
2015-04-04,841
2015-04-05,841
2015-04-06,871
2015-04-07,845
2015-04-08,845
2015-04-09,840
2015-04-10,823
2015-04-11,806
2015-04-12,825
2015-04-13,829
2015-04-14,829
2015-04-15,831
2015-04-16,831
2015-04-17,826
2015-04-18,824
2015-04-19,823
2015-04-20,823
2015-04-21,862
2015-04-22,862
2015-04-23,903
2015-04-24,903
2015-04-25,949
2015-04-26,996
2015-04-27,1046
2015-04-28,1099
2015-04-29,1099
2015-04-30,1139
2015-05-01,1116
2015-05-02,1061
2015-05-03,1061
2015-05-04,1007
2015-05-05,956
2015-05-06,908
2015-05-07,862
2015-05-08,820
2015-05-09,779
2015-05-10,740
2015-05-11,740
2015-05-12,703
2015-05-13,673
2015-05-14,639
2015-05-15,639
2015-05-16,657
2015-05-17,635
2015-05-18,662
2015-05-19,662
2015-05-20,691
2015-05-21,691
2015-05-22,704
2015-05-23,704
2015-05-24,675
2015-05-25,641
2015-05-26,641
2015-05-27,613
2015-05-28,626
2015-05-29,637
2015-05-30,652
2015-05-31,652
2015-06-01,622
2015-06-02,622
2015-06-03,621
2015-06-04,621
2015-06-05,641
2015-06-06,674
2015-06-07,706
2015-06-08,706
2015-06-09,742
2015-06-10,780
2015-06-11,780
2015-06-12,819
2015-06-13,860
2015-06-14,889
2015-06-15,889
2015-06-16,879
2015-06-17,879
2015-06-18,905
2015-06-19,905
2015-06-20,938
2015-06-21,938
2015-06-22,965
2015-06-23,965
2015-06-24,985
2015-06-25,985
2015-06-26,1032
2015-06-27,1032
2015-06-28,1084
2015-06-29,1084
2015-06-30,1101
2015-07-01,1095
2015-07-02,1095
2015-07-03,1068
2015-07-04,1077
2015-07-05,1077
2015-07-06,1114
2015-07-07,1152
2015-07-08,1145
2015-07-09,1145
2015-07-10,1157
2015-07-11,1157
2015-07-12,1202
2015-07-13,1255
2015-07-14,1312
2015-07-15,1339
2015-07-16,1389
2015-07-17,1371
2015-07-18,1371
2015-07-19,1426
2015-07-20,1460
2015-07-21,1400
2015-07-22,1345
2015-07-23,1345
2015-07-24,1277
2015-07-25,1214
2015-07-26,1153
2015-07-27,1107
2015-07-28,1084
2015-07-29,1061
2015-07-30,1061
2015-07-31,1031
2015-08-01,992
2015-08-02,960
2015-08-03,932
2015-08-04,932
2015-08-05,929
2015-08-06,926
2015-08-07,926
2015-08-08,949
2015-08-09,936
2015-08-10,894
2015-08-11,892
2015-08-12,892
2015-08-13,892
2015-08-14,858
2015-08-15,858
2015-08-16,857
2015-08-17,857
2015-08-18,883
2015-08-19,883
2015-08-20,893
2015-08-21,893
2015-08-22,905
2015-08-23,905
2015-08-24,890
2015-08-25,890
2015-08-26,890
2015-08-27,911
2015-08-28,911
2015-08-29,898
2015-08-30,898
2015-08-31,923
2015-09-01,923
2015-09-02,940
2015-09-03,940
2015-09-04,939
2015-09-05,939
2015-09-06,915
2015-09-07,915
2015-09-08,934
2015-09-09,934
2015-09-10,981
2015-09-11,981
2015-09-12,1030
2015-09-13,1030
2015-09-14,1082
2015-09-15,1137
2015-09-16,1137
2015-09-17,1194
2015-09-18,1194
2015-09-19,1254
2015-09-20,1254
2015-09-21,1317
2015-09-22,1317
2015-09-23,1383
2015-09-24,1383
2015-09-25,1448
2015-09-27,1521
2015-09-28,1521
2015-09-29,1467
2015-09-30,1404
2015-10-05,1368
2015-10-06,1410
2015-10-07,1410
2015-10-08,1391
2015-10-09,1332
2015-10-10,1332
