date_obj,Willow%20longbow price
2015-03-04,82
2015-03-05,82
2015-03-06,78
2015-03-07,78
2015-03-08,75
2015-03-09,75
2015-03-10,72
2015-03-11,72
2015-03-12,72
2015-03-13,69
2015-03-14,69
2015-03-15,67
2015-03-16,67
2015-03-17,67
2015-03-18,67
2015-03-19,67
2015-03-20,68
2015-03-21,68
2015-03-22,68
2015-03-23,68
2015-03-24,68
2015-03-25,71
2015-03-26,71
2015-03-27,71
2015-03-28,75
2015-03-29,75
2015-03-30,77
2015-03-31,77
2015-04-01,77
2015-04-02,78
2015-04-03,78
2015-04-04,78
2015-04-05,78
2015-04-06,78
2015-04-07,78
2015-04-08,78
2015-04-09,78
2015-04-10,78
2015-04-11,78
2015-04-12,78
2015-04-13,78
2015-04-14,78
2015-04-15,78
2015-04-16,79
2015-04-17,79
2015-04-18,79
2015-04-19,79
2015-04-20,79
2015-04-21,81
2015-04-22,81
2015-04-23,81
2015-04-24,84
2015-04-25,84
2015-04-26,84
2015-04-27,87
2015-04-28,87
2015-04-29,87
2015-04-30,92
2015-05-01,92
2015-05-02,97
2015-05-03,97
2015-05-04,97
2015-05-05,98
2015-05-06,98
2015-05-07,102
2015-05-08,102
2015-05-09,102
2015-05-10,102
2015-05-11,102
2015-05-12,104
2015-05-13,104
2015-05-14,105
2015-05-15,105
2015-05-16,105
2015-05-17,105
2015-05-18,105
2015-05-19,105
2015-05-20,108
2015-05-21,108
2015-05-22,108
2015-05-23,111
2015-05-24,111
2015-05-25,112
2015-05-26,112
2015-05-27,112
2015-05-28,110
2015-05-29,110
2015-05-30,107
2015-05-31,107
2015-06-01,107
2015-06-02,107
2015-06-03,107
2015-06-04,108
2015-06-05,108
2015-06-06,111
2015-06-07,111
2015-06-08,114
2015-06-09,114
2015-06-10,117
2015-06-11,117
2015-06-12,117
2015-06-13,123
2015-06-14,123
2015-06-15,121
2015-06-16,121
2015-06-17,122
2015-06-18,122
2015-06-19,120
2015-06-20,120
2015-06-21,118
2015-06-22,118
2015-06-23,118
2015-06-24,118
2015-06-25,119
2015-06-26,119
2015-06-27,121
2015-06-28,121
2015-06-29,120
2015-06-30,120
2015-07-01,116
