date_obj,Willow%20stock price
2015-03-26,123
2015-03-27,123
2015-03-28,123
2015-03-29,123
2015-03-30,123
2015-03-31,123
2015-04-01,123
2015-04-02,123
2015-04-03,123
2015-04-04,123
2015-04-05,123
2015-04-06,123
2015-04-07,123
2015-04-08,123
2015-04-09,123
2015-04-10,123
2015-04-11,123
2015-04-12,123
2015-04-13,123
2015-04-14,123
2015-04-15,123
2015-04-16,123
2015-04-17,123
2015-04-18,123
2015-04-19,116
2015-04-20,116
2015-04-21,116
2015-04-22,116
2015-04-23,116
2015-04-24,116
2015-04-25,116
2015-04-26,116
2015-04-27,116
2015-04-28,116
2015-04-29,116
2015-04-30,116
2015-05-01,116
2015-05-02,116
2015-05-03,116
2015-05-04,116
2015-05-05,116
2015-05-06,116
2015-05-07,116
2015-05-08,116
2015-05-09,116
2015-05-10,116
2015-05-11,116
2015-05-12,116
2015-05-13,116
2015-05-14,116
2015-05-15,116
2015-05-16,110
2015-05-17,110
2015-05-18,110
2015-05-19,110
2015-05-20,110
2015-05-21,110
2015-05-22,110
2015-05-23,110
2015-05-24,110
2015-05-25,110
2015-05-26,110
2015-05-27,110
2015-05-28,110
2015-05-29,110
2015-05-30,110
2015-05-31,110
2015-06-01,110
2015-06-02,110
2015-06-03,104
2015-06-04,104
2015-06-05,104
2015-06-06,104
2015-06-07,104
2015-06-08,104
2015-06-09,104
2015-06-10,104
2015-06-11,104
2015-06-12,104
2015-06-13,104
2015-06-14,104
2015-06-15,104
2015-06-16,104
2015-06-17,104
2015-06-18,104
2015-06-19,104
2015-06-20,104
2015-06-21,104
2015-06-22,98
2015-06-23,98
2015-06-24,98
2015-06-25,98
2015-06-26,98
2015-06-27,98
2015-06-28,98
2015-06-29,98
2015-06-30,98
2015-07-01,98
2015-07-02,98
2015-07-03,98
2015-07-04,98
2015-07-05,98
2015-07-06,98
2015-07-07,98
2015-07-08,98
2015-07-09,98
2015-07-10,98
2015-07-11,98
2015-07-12,94
2015-07-13,94
2015-07-14,94
2015-07-15,94
2015-07-16,94
2015-07-17,94
2015-07-18,94
2015-07-19,94
2015-07-20,94
2015-07-21,94
2015-07-22,94
2015-07-23,94
2015-07-24,94
2015-07-25,94
2015-07-26,94
2015-07-27,94
2015-07-28,94
2015-07-29,94
2015-07-30,94
2015-07-31,94
2015-08-01,94
2015-08-02,89
2015-08-03,89
2015-08-04,89
