date_obj,Worm%20crunchies price
2015-03-26,400
2015-03-27,400
2015-03-28,400
2015-03-29,400
2015-03-30,400
2015-03-31,400
2015-04-01,400
2015-04-02,400
2015-04-03,400
2015-04-04,400
2015-04-05,400
2015-04-06,400
2015-04-07,400
2015-04-08,400
2015-04-09,400
2015-04-10,400
2015-04-11,400
2015-04-12,400
2015-04-13,400
2015-04-14,400
2015-04-15,400
2015-04-16,400
2015-04-17,400
2015-04-18,400
2015-04-19,400
2015-04-20,400
2015-04-21,400
2015-04-22,400
2015-04-23,400
2015-04-24,400
2015-04-25,400
2015-04-26,414
2015-04-27,414
2015-04-28,414
2015-04-29,414
2015-04-30,414
2015-05-01,414
2015-05-02,414
2015-05-03,414
2015-05-04,414
2015-05-05,414
2015-05-06,414
2015-05-07,414
2015-05-08,414
2015-05-09,414
2015-05-10,414
2015-05-11,414
2015-05-12,414
2015-05-13,414
2015-05-14,414
2015-05-15,414
2015-05-16,414
2015-05-17,414
2015-05-18,414
2015-05-19,414
2015-05-20,414
2015-05-21,414
2015-05-22,414
2015-05-23,414
2015-05-24,414
2015-05-25,414
2015-05-26,414
2015-05-27,414
2015-05-28,414
2015-05-29,414
2015-05-30,414
2015-05-31,414
2015-06-01,414
2015-06-02,414
2015-06-03,414
2015-06-04,414
2015-06-05,414
2015-06-06,414
2015-06-07,414
2015-06-08,414
2015-06-09,414
2015-06-10,414
2015-06-11,414
2015-06-12,430
2015-06-13,430
2015-06-14,430
2015-06-15,430
2015-06-16,430
2015-06-17,430
2015-06-18,430
2015-06-19,430
2015-06-20,430
2015-06-21,430
2015-06-22,430
2015-06-23,430
2015-06-24,430
2015-06-25,430
2015-06-26,430
2015-06-27,430
2015-06-28,430
2015-06-29,430
2015-06-30,430
2015-07-01,430
2015-07-02,430
2015-07-03,430
2015-07-04,430
2015-07-05,430
2015-07-06,430
2015-07-07,430
2015-07-08,430
2015-07-09,430
2015-07-10,430
2015-07-11,430
2015-07-12,430
2015-07-13,430
2015-07-14,430
2015-07-15,430
2015-07-16,430
2015-07-17,430
2015-07-18,430
2015-07-19,430
2015-07-20,430
2015-07-21,430
2015-07-22,430
2015-07-23,430
2015-07-24,430
2015-07-25,430
2015-07-26,430
2015-07-27,430
2015-07-28,430
2015-07-29,430
2015-07-30,430
2015-07-31,430
2015-08-01,430
2015-08-02,430
2015-08-03,430
2015-08-04,430
2015-08-05,430
2015-08-06,430
2015-08-07,430
2015-08-08,430
2015-08-09,430
2015-08-10,430
2015-08-11,430
2015-08-12,430
2015-08-13,430
2015-08-14,430
2015-08-15,430
2015-08-16,430
2015-08-17,430
2015-08-18,430
2015-08-19,430
2015-08-20,430
2015-08-21,430
2015-08-22,430
2015-08-23,430
2015-08-24,430
2015-08-25,430
2015-08-26,430
2015-08-27,430
2015-08-28,430
2015-08-29,430
2015-08-30,430
2015-08-31,430
2015-09-01,430
2015-09-02,430
2015-09-03,430
2015-09-04,430
2015-09-05,442
2015-09-06,442
2015-09-07,442
2015-09-08,442
2015-09-09,442
2015-09-10,442
2015-09-11,442
2015-09-12,442
2015-09-13,442
2015-09-14,442
2015-09-15,442
2015-09-16,442
2015-09-17,442
2015-09-18,442
2015-09-19,442
2015-09-20,442
2015-09-21,442
2015-09-22,442
2015-09-23,442
2015-09-24,442
2015-09-25,442
2015-09-27,442
2015-09-28,442
2015-09-29,442
2015-09-30,442
2015-10-05,442
2015-10-06,442
2015-10-07,442
2015-10-08,442
2015-10-09,442
2015-10-10,442
2015-10-11,442
2015-10-12,442
2015-10-13,442
2015-10-14,442
2015-10-15,442
2015-10-16,442
2015-10-17,442
2015-10-18,442
2015-10-19,442
2015-10-20,442
2015-10-22,442
2015-10-23,442
2015-10-24,442
2015-10-25,442
2015-10-26,442
2015-10-27,442
2015-10-29,442
2015-10-30,442
2015-10-31,442
2015-11-01,442
2015-11-02,442
2015-11-03,442
2015-11-05,442
2015-11-06,442
2015-11-07,442
2015-11-08,442
2015-11-09,442
2015-11-10,442
2015-11-11,442
2015-11-12,442
2015-11-13,442
2015-11-14,442
2015-11-15,442
2015-11-16,442
2015-11-17,442
2015-11-18,442
2015-11-19,442
2015-11-20,442
2015-11-21,442
2015-11-22,442
2015-11-23,442
2015-11-24,442
2015-11-25,442
2015-11-26,442
2015-11-27,442
2015-11-28,442
2015-11-29,442
2015-11-30,442
2015-12-01,442
2015-12-02,442
2015-12-03,442
2015-12-04,457
2015-12-05,457
2015-12-06,457
2015-12-07,457
2015-12-08,457
2015-12-09,457
2015-12-10,457
2015-12-11,457
2015-12-13,457
2015-12-14,457
2015-12-15,457
2015-12-16,457
2015-12-17,457
2015-12-18,457
2015-12-19,457
2015-12-20,457
2015-12-21,457
2015-12-22,457
2015-12-23,457
2015-12-24,457
2015-12-25,457
2015-12-26,457
2015-12-27,457
2015-12-28,457
2015-12-29,457
2015-12-30,457
2015-12-31,457
2016-01-01,457
2016-01-02,457
2016-01-03,457
2016-01-04,457
2016-01-05,457
2016-01-06,457
2016-01-07,457
2016-01-08,457
2016-01-09,457
2016-01-10,457
2016-01-11,457
2016-01-12,457
2016-01-13,457
2016-01-14,457
2016-01-15,457
2016-01-16,457
2016-01-17,457
2016-01-18,457
2016-01-19,457
2016-01-20,457
2016-01-21,472
2016-01-22,472
2016-01-23,472
2016-01-24,472
2016-01-25,472
2016-01-26,472
2016-01-27,472
2016-01-28,472
2016-01-29,472
2016-01-30,472
2016-01-31,472
2016-02-01,472
2016-02-02,472
2016-02-03,472
2016-02-04,472
2016-02-05,472
2016-02-06,472
2016-02-07,472
2016-02-08,472
2016-02-09,472
2016-02-10,472
2016-02-11,472
2016-02-12,472
2016-02-13,472
2016-02-14,472
2016-02-15,472
2016-02-16,472
2016-02-17,472
2016-02-18,472
2016-02-19,472
2016-02-20,472
2016-02-21,472
2016-02-22,472
2016-02-23,472
2016-02-24,472
2016-02-25,472
2016-02-26,472
2016-02-27,472
2016-02-28,472
2016-02-29,472
2016-03-01,472
2016-03-02,472
2016-03-03,472
2016-03-04,472
2016-03-05,472
2016-03-06,472
2016-03-07,471
2016-03-08,471
2016-03-09,471
2016-03-10,471
2016-03-11,471
2016-03-12,471
2016-03-13,471
2016-03-14,471
2016-03-15,471
2016-03-16,471
2016-03-17,471
2016-03-18,471
2016-03-19,471
2016-03-20,471
2016-03-21,471
2016-03-22,471
2016-03-23,471
2016-03-24,471
2016-03-25,471
2016-03-26,471
2016-03-27,471
2016-03-28,471
2016-03-29,471
2016-03-30,471
2016-03-31,471
2016-04-01,471
2016-04-02,471
2016-04-03,471
2016-04-04,471
2016-04-05,471
2016-04-06,471
2016-04-07,471
2016-04-08,471
2016-04-09,471
2016-04-10,471
2016-04-11,471
2016-04-12,471
2016-04-13,471
2016-04-14,471
2016-04-15,471
2016-04-16,471
2016-04-17,471
2016-04-18,476
2016-04-19,476
2016-04-20,476
2016-04-21,476
2016-04-22,476
2016-04-23,476
2016-04-24,476
2016-04-25,476
2016-04-26,476
2016-04-27,476
2016-04-28,476
2016-04-29,476
2016-04-30,476
2016-05-01,476
2016-05-02,476
2016-05-03,476
2016-05-04,476
2016-05-05,476
2016-05-06,476
2016-05-07,476
2016-05-08,476
2016-05-09,476
2016-05-10,476
2016-05-11,476
2016-05-12,476
2016-05-13,476
2016-05-14,476
2016-05-15,476
2016-05-16,476
2016-05-17,476
2016-05-18,476
2016-05-19,476
2016-05-22,476
2016-05-23,476
2016-05-24,476
2016-05-25,476
2016-05-26,476
2016-05-27,490
2016-05-28,490
2016-05-29,490
2016-05-30,490
2016-05-31,490
2016-06-01,490
2016-06-02,490
2016-06-03,490
2016-06-04,490
2016-06-05,490
2016-06-06,490
2016-06-07,490
2016-06-08,490
2016-06-09,490
2016-06-10,490
2016-06-11,490
2016-06-12,490
2016-06-13,490
2016-06-14,490
2016-06-15,490
2016-06-16,490
2016-06-17,490
2016-06-18,490
2016-06-19,490
2016-06-20,490
2016-06-21,490
2016-06-22,490
2016-06-23,490
2016-06-24,490
2016-06-25,492
2016-06-26,492
2016-06-27,492
2016-06-28,492
2016-06-29,492
2016-06-30,492
2016-07-01,492
2016-07-02,492
2016-07-03,492
2016-07-04,492
2016-07-05,492
2016-07-06,492
2016-07-07,492
2016-07-08,492
2016-07-09,492
2016-07-10,492
2016-07-11,492
2016-07-12,492
2016-07-13,492
2016-07-14,492
2016-07-15,492
2016-07-16,492
2016-07-17,492
2016-07-18,492
2016-07-24,492
2016-07-25,492
2016-07-26,492
2016-07-27,492
2016-07-28,492
2016-07-29,492
2016-07-30,492
2016-07-31,492
2016-08-01,492
2016-08-02,492
2016-08-03,492
2016-08-04,492
2016-08-05,492
2016-08-06,492
2016-08-07,492
2016-08-08,492
2016-08-09,486
2016-08-10,486
2016-08-11,486
2016-08-12,486
2016-08-13,486
2016-08-14,486
2016-08-15,486
2016-08-16,486
2016-08-17,486
2016-08-18,486
2016-08-19,486
2016-08-20,486
2016-08-21,486
2016-08-22,486
2016-08-23,486
2016-08-24,486
2016-08-25,486
2016-08-26,486
