date_obj,Wrath%20talisman price
2018-01-03,10393
2018-01-04,10481
2018-01-05,9956
2018-01-06,9458
2018-01-07,8985
2018-01-08,8535
2018-01-09,8108
2018-01-10,7702
2018-01-11,7316
2018-01-12,6950
2018-01-13,6602
2018-01-14,6271
2018-01-15,5957
2018-01-16,5659
2018-01-17,5376
2018-01-18,5107
2018-01-19,4915
2018-01-20,4669
2018-01-21,4435
2018-01-22,4213
2018-01-23,4002
2018-01-24,3801
2018-01-25,3610
2018-01-26,3429
2018-01-27,3257
2018-01-28,3094
2018-01-29,2939
2018-01-30,2792
2018-02-01,2519
2018-02-02,2393
2018-02-03,2273
2018-02-04,2159
2018-02-05,2051
2018-02-06,1948
2018-02-07,1850
2018-02-08,1768
2018-02-09,1679
2018-02-10,1597
2018-02-11,1517
2018-02-12,1441
2018-02-13,1368
2018-02-14,1299
2018-02-15,1234
2018-02-16,1172
2018-02-17,1113
2018-02-18,1057
2018-02-19,1004
2018-02-20,953
2018-02-21,905
2018-02-22,859
2018-02-23,816
2018-02-24,775
2018-02-25,736
2018-02-26,699
2018-02-27,664
2018-02-28,630
2018-03-01,598
2018-03-02,568
2018-03-03,551
2018-03-04,551
2018-03-05,523
2018-03-06,496
2018-03-07,471
2018-03-08,447
2018-03-09,424
2018-03-10,402
2018-03-11,381
2018-03-12,361
2018-03-13,342
2018-03-14,324
2018-03-15,312
2018-03-16,306
2018-03-17,299
2018-03-18,304
2018-03-20,292
2018-03-21,279
2018-03-23,251
2018-03-24,240
2018-03-26,264
2018-03-27,262
2018-03-28,262
2018-03-29,266
2018-03-30,268
2018-03-31,267
2018-04-01,267
2018-04-02,271
2018-04-03,271
2018-04-04,272
2018-04-05,272
2018-04-06,282
2018-04-08,292
2018-04-09,288
2018-04-10,294
2018-04-11,301
2018-04-12,311
2018-04-13,311
2018-04-14,325
2018-04-16,341
2018-04-17,359
2018-04-18,359
2018-04-19,372
2018-04-20,390
2018-04-21,404
2018-04-22,423
2018-04-23,408
2018-04-24,401
2018-04-25,401
2018-04-26,401
2018-04-27,406
2018-04-28,427
2018-04-29,449
2018-04-30,472
2018-05-02,521
2018-05-03,548
2018-05-04,561
2018-05-05,557
2018-05-06,557
2018-05-07,530
2018-05-08,503
2018-05-09,504
2018-05-10,510
2018-05-11,504
2018-05-12,512
2018-05-13,512
2018-05-14,514
2018-05-15,501
2018-05-16,506
2018-05-17,501
2018-05-18,503
2018-05-19,512
2018-05-20,538
2018-05-21,556
2018-05-22,556
2018-05-23,551
2018-05-24,557
2018-05-25,550
2018-05-26,557
2018-05-27,578
2018-05-28,604
2018-05-29,635
2018-05-30,667
2018-05-31,701
2018-06-01,731
2018-06-02,702
2018-06-03,679
2018-06-04,645
2018-06-05,612
2018-06-06,628
2018-06-07,628
2018-06-08,614
2018-06-09,588
2018-06-10,561
2018-06-11,532
2018-06-12,531
2018-06-13,543
2018-06-14,518
2018-06-15,503
2018-06-16,502
2018-06-17,511
2018-06-18,525
2018-06-19,512
2018-06-20,512
2018-06-21,505
2018-06-22,526
2018-06-23,526
2018-06-24,553
2018-06-25,581
2018-06-26,555
2018-06-27,529
2018-06-28,508
2018-06-29,509
2018-06-30,512
2018-07-01,511
2018-07-02,511
2018-07-03,515
2018-07-04,533
2018-07-05,533
2018-07-06,538
2018-07-07,563
2018-07-08,568
2018-07-09,539
2018-07-10,530
2018-07-11,553
2018-07-12,525
2018-07-13,503
2018-07-14,501
2018-07-15,523
2018-07-16,542
2018-07-17,514
2018-07-18,504
2018-07-19,508
2018-07-20,516
2018-07-21,508
2018-07-22,530
2018-07-23,529
2018-07-24,502
2018-07-25,476
2018-07-26,479
2018-07-27,501
2018-07-28,512
2018-07-29,521
2018-07-30,501
2018-07-31,504
2018-08-01,504
2018-08-02,499
2018-08-03,524
2018-08-04,551
2018-08-05,579
2018-08-06,608
2018-08-07,639
2018-08-08,620
2018-08-09,592
2018-08-10,589
2018-08-11,561
2018-08-12,565
2018-08-14,533
2018-08-16,529
2018-08-17,502
2018-08-18,496
2018-08-19,472
2018-08-20,448
2018-08-21,439
2018-08-22,418
2018-08-23,401
2018-08-24,380
2018-08-25,370
2018-08-26,388
2018-08-27,408
2018-08-28,428
2018-08-29,449
2018-08-30,472
2018-08-31,496
2018-09-01,521
2018-09-02,521
2018-09-03,537
2018-09-04,564
2018-09-05,582
2018-09-06,582
2018-09-07,580
2018-09-08,609
2018-09-09,609
2018-09-10,640
2018-09-11,640
2018-09-12,671
2018-09-13,705
2018-09-14,741
2018-09-15,769
2018-09-16,769
2018-09-17,801
2018-09-18,764
2018-09-19,733
2018-09-20,759
2018-09-21,797
2018-09-22,837
2018-09-23,879
2018-09-24,923
2018-09-25,923
2018-09-26,970
2018-09-27,1019
2018-09-28,1051
2018-09-29,1104
2018-09-30,1160
2018-10-02,1160
2018-10-03,1139
2018-10-04,1087
2018-10-05,1032
2018-10-06,984
2018-10-07,954
2018-10-08,992
2018-10-09,1042
2018-10-10,1000
2018-10-11,950
2018-10-12,945
2018-10-13,918
2018-10-14,923
2018-10-15,960
2018-10-16,1002
2018-10-17,1051
2018-10-18,1084
2018-10-19,1031
2018-10-20,1031
2018-10-21,1005
2018-10-22,956
2018-10-23,908
2018-10-24,862
2018-10-25,819
2018-10-26,779
2018-10-27,786
2018-10-28,762
2018-10-29,758
2018-10-30,773
2018-10-31,770
2018-11-01,769
2018-11-03,715
2018-11-04,688
2018-11-05,701
2018-11-06,708
2018-11-07,741
2018-11-08,760
2018-11-09,798
2018-11-10,796
2018-11-11,765
2018-11-12,758
2018-11-13,770
2018-11-14,758
2018-11-15,745
2018-11-16,707
2018-11-17,714
2018-11-18,701
2018-11-19,737
2018-11-20,701
2018-11-21,681
2018-11-22,692
2018-11-23,695
2018-11-24,689
2018-11-25,664
2018-11-26,658
2018-11-27,691
2018-11-28,726
2018-12-01,814
2018-12-02,773
2018-12-03,739
2018-12-04,711
2018-12-05,699
2018-12-07,668
2018-12-09,693
2018-12-10,700
2018-12-11,713
2018-12-12,743
2018-12-13,781
2018-12-14,821
2018-12-15,863
2018-12-16,907
2018-12-17,953
2018-12-18,976
2018-12-19,927
2018-12-20,887
2018-12-21,846
2018-12-22,803
