date_obj,Yellow%20hat price
2015-03-04,900
2015-03-05,900
2015-03-06,900
2015-03-07,917
2015-03-08,917
2015-03-09,917
2015-03-10,917
2015-03-11,917
2015-03-12,917
2015-03-13,917
2015-03-14,917
2015-03-15,917
2015-03-16,917
2015-03-17,917
2015-03-18,917
2015-03-19,921
2015-03-20,921
2015-03-21,921
2015-03-22,921
2015-03-23,921
2015-03-24,921
2015-03-25,921
2015-03-26,921
2015-03-27,921
2015-03-28,921
2015-03-29,921
2015-03-30,943
2015-03-31,943
2015-04-01,943
2015-04-02,943
2015-04-03,943
2015-04-04,943
2015-04-05,943
2015-04-06,943
2015-04-07,943
2015-04-08,943
2015-04-09,943
2015-04-10,957
2015-04-11,957
2015-04-12,957
2015-04-13,957
2015-04-14,957
2015-04-15,957
2015-04-16,957
2015-04-17,957
2015-04-18,957
2015-04-19,957
2015-04-20,957
2015-04-21,957
2015-04-22,972
2015-04-23,972
2015-04-24,972
2015-04-25,972
2015-04-26,972
2015-04-27,972
2015-04-28,972
2015-04-29,972
2015-04-30,972
2015-05-01,972
2015-05-02,972
2015-05-03,972
2015-05-04,973
2015-05-05,973
2015-05-06,973
2015-05-07,973
2015-05-08,973
2015-05-09,973
2015-05-10,973
2015-05-11,973
2015-05-12,973
2015-05-13,973
2015-05-14,973
2015-05-15,973
2015-05-16,973
2015-05-17,966
2015-05-18,966
2015-05-19,966
2015-05-20,966
2015-05-21,966
2015-05-22,966
2015-05-23,966
2015-05-24,966
2015-05-25,966
2015-05-26,966
2015-05-27,966
2015-05-28,985
2015-05-29,985
2015-05-30,985
2015-05-31,985
2015-06-01,985
2015-06-02,985
2015-06-03,985
2015-06-04,985
2015-06-05,985
2015-06-06,977
2015-06-07,977
2015-06-08,977
2015-06-09,977
2015-06-10,977
2015-06-11,977
2015-06-12,977
2015-06-13,977
2015-06-14,977
2015-06-15,977
2015-06-16,934
2015-06-17,934
2015-06-18,934
2015-06-19,934
2015-06-20,934
2015-06-21,934
2015-06-22,934
2015-06-23,934
2015-06-24,920
2015-06-25,920
2015-06-26,920
2015-06-27,920
2015-06-28,920
2015-06-29,920
2015-06-30,920
2015-07-01,920
2015-07-02,920
2015-07-03,937
2015-07-04,937
2015-07-05,937
2015-07-06,937
2015-07-07,937
2015-07-08,937
2015-07-09,937
2015-07-10,937
2015-07-11,937
2015-07-12,937
2015-07-13,950
2015-07-14,950
2015-07-15,950
2015-07-16,950
2015-07-17,950
2015-07-18,950
2015-07-19,950
2015-07-20,950
2015-07-21,950
2015-07-22,927
2015-07-23,927
2015-07-24,927
2015-07-25,927
2015-07-26,927
2015-07-27,927
2015-07-28,927
2015-07-29,927
2015-07-30,927
2015-07-31,927
2015-08-01,907
2015-08-02,907
2015-08-03,907
2015-08-04,907
2015-08-05,907
2015-08-06,907
2015-08-07,907
2015-08-08,894
2015-08-09,894
2015-08-10,894
2015-08-11,894
2015-08-12,894
2015-08-13,894
2015-08-14,894
2015-08-15,894
2015-08-16,894
2015-08-17,879
2015-08-18,879
2015-08-19,879
2015-08-20,879
2015-08-21,879
2015-08-22,879
2015-08-23,879
2015-08-24,879
2015-08-25,879
2015-08-26,879
2015-08-27,860
2015-08-28,860
2015-08-29,860
2015-08-30,860
2015-08-31,860
2015-09-02,860
2015-09-07,852
2015-09-08,852
2015-09-10,852
2015-09-14,861
2015-09-16,861
2015-09-22,873
2015-09-23,873
2015-09-24,873
2015-09-25,873
2015-09-27,873
2015-09-28,873
2015-09-29,873
2015-09-30,873
2015-10-05,862
2015-10-06,862
2015-10-07,862
