date_obj,Yellow%20robe%20bottoms price
2015-03-04,1100
2015-03-05,1100
2015-03-06,1100
2015-03-07,1100
2015-03-08,1100
2015-03-09,1114
2015-03-10,1114
2015-03-11,1114
2015-03-12,1114
2015-03-13,1114
2015-03-14,1114
2015-03-15,1114
2015-03-16,1114
2015-03-17,1114
2015-03-18,1114
2015-03-19,1114
2015-03-20,1114
2015-03-21,1114
2015-03-22,1114
2015-03-23,1114
2015-03-24,1123
2015-03-25,1123
2015-03-26,1123
2015-03-27,1123
2015-03-28,1123
2015-03-29,1123
2015-03-30,1123
2015-03-31,1123
2015-04-01,1123
2015-04-02,1123
2015-04-03,1123
2015-04-04,1123
2015-04-05,1123
2015-04-06,1123
2015-04-07,1140
2015-04-08,1140
2015-04-09,1140
2015-04-10,1140
2015-04-11,1140
2015-04-12,1140
2015-04-13,1140
2015-04-14,1140
2015-04-15,1140
2015-04-16,1140
2015-04-17,1140
2015-04-18,1140
2015-04-19,1140
2015-04-20,1140
2015-04-21,1140
2015-04-22,1140
2015-04-23,1126
2015-04-24,1126
2015-04-25,1126
2015-04-26,1126
2015-04-27,1126
2015-04-28,1126
2015-04-29,1126
2015-04-30,1126
2015-05-01,1126
2015-05-02,1126
2015-05-03,1126
2015-05-04,1126
2015-05-05,1126
2015-05-06,1126
2015-05-07,1126
2015-05-08,1126
2015-05-09,1126
2015-05-10,1122
2015-05-11,1122
2015-05-12,1122
2015-05-13,1122
2015-05-14,1122
2015-05-15,1122
2015-05-16,1122
2015-05-17,1122
2015-05-18,1122
2015-05-19,1122
2015-05-20,1122
2015-05-21,1122
2015-05-22,1122
2015-05-23,1122
2015-05-24,1122
2015-05-25,1122
2015-05-26,1122
2015-05-27,1122
2015-05-28,1117
2015-05-29,1117
2015-05-30,1117
2015-05-31,1117
2015-06-01,1117
2015-06-02,1117
2015-06-03,1117
2015-06-04,1117
2015-06-05,1117
2015-06-06,1117
2015-06-07,1117
2015-06-08,1117
2015-06-09,1094
2015-06-10,1094
2015-06-11,1094
2015-06-12,1094
2015-06-13,1094
2015-06-14,1094
2015-06-15,1094
2015-06-16,1094
2015-06-17,1094
2015-06-18,1094
2015-06-19,1094
2015-06-20,1060
2015-06-21,1060
2015-06-22,1060
2015-06-23,1060
2015-06-24,1060
2015-06-25,1060
2015-06-26,1060
2015-06-27,1060
2015-06-28,1060
2015-06-29,1060
2015-06-30,1060
2015-07-01,1060
2015-07-02,1060
2015-07-03,1043
2015-07-04,1043
2015-07-05,1043
2015-07-06,1043
2015-07-07,1043
2015-07-08,1043
2015-07-09,1043
2015-07-10,1043
2015-07-11,1043
2015-07-12,1043
2015-07-13,1043
2015-07-14,1043
2015-07-15,1043
2015-07-16,1043
2015-07-17,1043
2015-07-18,1040
2015-07-19,1040
2015-07-20,1040
2015-07-21,1040
2015-07-22,1040
2015-07-23,1040
2015-07-24,1040
2015-07-25,1040
2015-07-26,1040
2015-07-27,1040
2015-07-28,1040
2015-07-29,1040
2015-07-30,1040
2015-07-31,1040
2015-08-01,1038
2015-08-02,1038
2015-08-03,1038
2015-08-04,1038
2015-08-05,1038
2015-08-06,1038
2015-08-07,1038
2015-08-08,1038
2015-08-09,1038
2015-08-10,1038
2015-08-11,1038
2015-08-12,1038
2015-08-13,1038
2015-08-14,1038
2015-08-15,1056
2015-08-16,1056
2015-08-17,1056
2015-08-18,1056
2015-08-19,1056
2015-08-20,1056
2015-08-21,1056
2015-08-22,1056
2015-08-23,1056
2015-08-24,1056
2015-08-25,1056
2015-08-26,1056
2015-08-27,1056
2015-08-28,1056
2015-08-29,1077
2015-08-30,1077
2015-08-31,1077
2015-09-02,1077
2015-09-07,1077
2015-09-08,1077
2015-09-10,1077
2015-09-14,1081
2015-09-16,1081
2015-09-22,1081
2015-09-23,1081
2015-09-24,1081
2015-09-25,1081
2015-09-27,1081
2015-09-28,1081
2015-09-29,1081
2015-09-30,1081
2015-10-05,1050
2015-10-06,1050
2015-10-07,1050
2015-10-08,1050
2015-10-09,1050
2015-10-10,1050
2015-10-11,1050
2015-10-12,1050
2015-10-13,1050
2015-10-14,1050
2015-10-15,1050
2015-10-16,1050
2015-10-17,1050
2015-10-18,1050
2015-10-19,1000
2015-10-20,1000
2015-10-22,1000
2015-10-23,1000
2015-10-24,1000
2015-10-25,1000
2015-10-26,1000
2015-10-27,1000
2015-10-29,1000
2015-10-30,1000
2015-10-31,1000
2015-11-01,1000
2015-11-02,1000
2015-11-03,1000
2015-11-05,1000
2015-11-06,992
2015-11-07,992
2015-11-08,992
2015-11-09,992
2015-11-10,992
2015-11-11,992
2015-11-12,992
2015-11-13,992
2015-11-14,992
2015-11-15,992
2015-11-16,992
2015-11-17,992
2015-11-18,992
2015-11-19,992
2015-11-20,992
2015-11-21,992
2015-11-22,992
2015-11-23,992
2015-11-24,992
2015-11-25,996
2015-11-26,996
2015-11-27,996
2015-11-28,996
2015-11-29,996
2015-11-30,996
2015-12-01,996
2015-12-02,996
2015-12-03,996
2015-12-04,996
2015-12-05,996
2015-12-06,996
2015-12-07,996
2015-12-08,996
2015-12-09,996
2015-12-10,996
2015-12-11,996
2015-12-13,968
2015-12-14,968
2015-12-15,968
2015-12-16,968
2015-12-17,968
2015-12-18,968
2015-12-19,968
2015-12-20,968
2015-12-21,968
2015-12-22,968
2015-12-23,968
2015-12-24,968
2015-12-25,968
2015-12-26,968
2015-12-27,957
2015-12-28,957
2015-12-29,957
2015-12-30,957
2015-12-31,957
2016-01-01,957
2016-01-02,957
2016-01-03,957
2016-01-04,957
2016-01-05,957
2016-01-06,957
2016-01-07,957
2016-01-08,957
2016-01-09,957
2016-01-10,957
2016-01-11,962
2016-01-12,962
2016-01-13,962
2016-01-14,962
2016-01-15,962
2016-01-16,962
2016-01-17,962
2016-01-18,962
2016-01-19,962
2016-01-20,962
2016-01-21,962
2016-01-22,962
2016-01-23,962
2016-01-24,962
2016-01-25,962
2016-01-26,955
2016-01-27,955
2016-01-28,955
2016-01-29,955
2016-01-30,955
2016-01-31,955
2016-02-01,955
2016-02-02,955
2016-02-03,955
2016-02-04,955
2016-02-05,955
2016-02-06,955
2016-02-07,955
2016-02-08,955
2016-02-09,955
2016-02-10,955
2016-02-11,971
2016-02-12,971
2016-02-13,971
2016-02-14,971
2016-02-15,971
2016-02-16,971
2016-02-17,971
2016-02-18,971
2016-02-19,971
2016-02-20,971
2016-02-21,971
2016-02-22,971
2016-02-23,971
2016-02-24,971
2016-02-25,971
2016-02-26,971
2016-02-27,985
2016-02-28,985
2016-02-29,985
2016-03-01,985
2016-03-02,985
2016-03-03,985
2016-03-04,985
2016-03-05,985
2016-03-06,985
2016-03-07,985
2016-03-08,985
2016-03-09,985
2016-03-10,985
2016-03-11,985
2016-03-12,1000
2016-03-13,1000
2016-03-14,1000
2016-03-15,1000
2016-03-16,1000
2016-03-17,1000
2016-03-18,1000
2016-03-19,1000
2016-03-20,1000
2016-03-21,1000
2016-03-22,1000
2016-03-23,1000
2016-03-24,1000
2016-03-25,993
2016-03-26,993
2016-03-27,993
2016-03-28,993
2016-03-29,993
2016-03-30,993
2016-03-31,993
2016-04-01,993
2016-04-02,993
2016-04-03,993
2016-04-04,993
2016-04-05,993
2016-04-06,993
2016-04-07,993
2016-04-08,993
2016-04-09,969
2016-04-10,969
2016-04-11,969
2016-04-12,969
2016-04-13,969
2016-04-14,969
2016-04-15,969
2016-04-16,969
2016-04-17,969
2016-04-18,969
2016-04-19,969
2016-04-20,969
2016-04-21,969
2016-04-22,969
2016-04-23,950
2016-04-24,950
2016-04-25,950
2016-04-26,950
2016-04-27,950
2016-04-28,950
2016-04-29,950
2016-04-30,950
2016-05-01,950
2016-05-02,950
2016-05-03,950
2016-05-04,950
2016-05-05,950
2016-05-06,950
2016-05-07,928
2016-05-08,928
2016-05-09,928
2016-05-10,928
2016-05-11,928
2016-05-12,928
2016-05-13,928
2016-05-14,928
2016-05-15,928
2016-05-16,928
2016-05-17,928
2016-05-18,928
2016-05-19,928
2016-05-22,915
2016-05-23,915
2016-05-24,915
2016-05-25,915
2016-05-26,915
2016-05-27,915
2016-05-28,915
2016-05-29,915
2016-05-30,915
2016-05-31,915
2016-06-01,915
2016-06-02,915
2016-06-03,915
2016-06-04,908
2016-06-05,908
2016-06-06,908
2016-06-07,908
2016-06-08,908
2016-06-09,908
2016-06-10,908
2016-06-11,908
2016-06-12,908
2016-06-13,908
2016-06-14,908
2016-06-15,908
2016-06-16,908
2016-06-17,908
2016-06-18,908
2016-06-19,893
2016-06-20,893
2016-06-21,893
2016-06-22,893
2016-06-23,893
2016-06-24,893
2016-06-25,893
2016-06-26,893
2016-06-27,893
2016-06-28,893
2016-06-29,893
2016-06-30,893
2016-07-01,893
2016-07-02,893
2016-07-03,884
2016-07-04,884
2016-07-05,884
2016-07-06,884
2016-07-07,884
2016-07-08,884
2016-07-09,884
2016-07-10,884
2016-07-11,884
2016-07-12,884
2016-07-13,884
2016-07-14,884
2016-07-15,883
2016-07-16,883
2016-07-17,883
2016-07-18,883
2016-07-24,883
2016-07-25,883
2016-07-26,883
2016-07-27,883
2016-07-28,883
2016-07-29,883
2016-07-30,876
2016-07-31,876
2016-08-01,876
2016-08-02,876
2016-08-03,876
2016-08-04,876
2016-08-05,876
2016-08-06,876
2016-08-07,876
2016-08-08,876
2016-08-09,876
2016-08-10,876
2016-08-11,876
2016-08-12,876
2016-08-13,876
2016-08-14,876
2016-08-15,876
2016-08-16,876
2016-08-17,875
2016-08-18,875
2016-08-19,875
2016-08-20,875
2016-08-21,875
2016-08-22,875
2016-08-23,875
2016-08-24,875
2016-08-25,875
2016-08-26,875
2016-08-28,875
2016-08-31,875
2016-09-01,875
2016-09-02,875
2016-09-03,875
2016-09-04,875
2016-09-05,875
2016-09-06,881
2016-09-07,881
2016-09-08,881
2016-09-09,881
2016-09-10,881
2016-09-11,881
2016-09-12,881
2016-09-13,881
2016-09-14,881
2016-09-15,881
2016-09-16,881
2016-09-17,881
2016-09-18,881
2016-09-19,881
2016-09-20,881
2016-09-21,881
2016-09-22,881
2016-09-23,881
2016-09-24,881
2016-09-25,881
2016-09-26,881
2016-09-27,882
2016-09-28,882
2016-09-29,882
2016-09-30,882
2016-10-01,882
2016-10-02,882
2016-10-03,882
2016-10-04,882
2016-10-05,882
2016-10-06,882
2016-10-07,882
2016-10-08,882
2016-10-09,882
2016-10-10,882
2016-10-11,882
2016-10-12,882
2016-10-13,882
2016-10-14,882
2016-10-15,882
2016-10-16,882
2016-10-17,876
2016-10-18,876
2016-10-19,876
2016-10-20,876
2016-10-21,876
2016-10-22,876
2016-10-23,876
2016-10-24,876
2016-10-25,876
2016-10-26,876
2016-10-27,876
2016-10-28,876
2016-10-29,876
2016-10-30,876
2016-10-31,876
2016-11-01,876
2016-11-02,876
2016-11-03,876
2016-11-04,876
2016-11-05,876
2016-11-06,833
2016-11-07,833
2016-11-08,833
2016-11-09,833
2016-11-10,833
2016-11-11,833
2016-11-12,833
2016-11-13,833
2016-11-14,833
2016-12-08,819
2016-12-09,819
2016-12-10,810
2016-12-11,810
2016-12-12,810
2016-12-13,810
2016-12-14,810
2016-12-15,810
2016-12-16,810
2016-12-17,810
2016-12-18,810
2016-12-19,810
2016-12-20,810
2016-12-21,810
2016-12-22,810
2016-12-23,810
2016-12-24,810
2016-12-25,810
2016-12-26,810
2016-12-27,810
2016-12-28,810
2016-12-29,793
2016-12-30,793
2016-12-31,793
2017-01-01,793
2017-01-02,793
2017-01-03,793
2017-01-04,793
2017-01-05,793
2017-01-06,793
2017-01-07,793
2017-01-08,793
2017-01-09,793
2017-01-10,793
2017-01-11,793
2017-01-12,793
2017-01-13,793
2017-01-14,764
2017-01-15,764
2017-01-16,764
2017-01-17,764
2017-01-18,764
2017-01-19,764
2017-01-20,764
2017-01-21,764
2017-01-22,764
2017-01-27,764
2017-01-28,726
2017-01-29,726
2017-01-30,726
2017-01-31,726
2017-02-01,726
2017-02-02,726
2017-02-03,726
2017-02-04,726
2017-02-05,726
2017-02-06,726
2017-02-07,726
2017-02-08,726
2017-02-09,730
2017-02-10,730
2017-02-11,730
2017-02-12,730
2017-02-13,730
2017-02-14,730
2017-02-15,730
2017-02-16,730
2017-02-18,730
2017-02-19,730
2017-02-20,730
2017-02-21,730
2017-02-22,730
2017-02-23,730
2017-02-24,730
2017-02-25,714
2017-02-26,714
2017-02-27,714
2017-02-28,714
2017-03-01,714
2017-03-02,714
2017-03-03,714
2017-03-04,714
2017-03-05,714
2017-03-06,714
2017-03-07,714
2017-03-08,714
2017-03-09,714
2017-03-10,714
2017-03-11,714
2017-03-12,714
2017-03-13,711
2017-03-14,711
2017-03-15,711
2017-03-16,711
2017-03-17,711
2017-03-18,711
2017-03-19,711
2017-03-20,711
2017-03-21,711
2017-03-22,711
2017-03-23,711
2017-03-24,711
2017-03-25,711
2017-03-26,711
2017-03-27,711
2017-03-28,677
2017-03-29,677
2017-03-30,677
2017-03-31,677
2017-04-01,677
2017-04-02,677
2017-04-03,677
2017-04-04,677
2017-04-12,691
2017-04-13,691
2017-04-14,691
2017-04-15,691
2017-04-16,691
2017-04-17,691
2017-04-18,691
2017-04-19,691
2017-04-20,691
2017-04-21,691
2017-04-22,691
2017-04-23,691
2017-04-24,691
2017-04-25,691
2017-04-26,691
2017-04-27,668
2017-04-28,668
2017-04-29,668
2017-04-30,668
2017-05-01,668
2017-05-02,668
2017-05-03,668
2017-05-04,668
2017-05-05,668
2017-05-06,668
2017-05-07,668
2017-05-08,668
2017-05-09,668
2017-05-10,668
2017-05-11,668
2017-05-12,648
2017-05-13,648
2017-05-14,648
2017-05-15,648
2017-05-16,648
2017-05-17,648
2017-05-18,648
2017-05-19,648
2017-05-20,648
2017-05-21,648
2017-05-22,648
2017-05-23,648
2017-05-24,648
2017-05-25,648
2017-05-26,648
2017-05-27,648
2017-05-28,648
2017-05-29,618
2017-05-30,618
2017-05-31,618
2017-06-01,618
2017-06-02,618
2017-06-03,618
2017-06-06,618
2017-06-07,618
2017-06-08,618
2017-06-09,618
2017-06-10,600
2017-06-11,600
2017-06-12,600
2017-06-13,600
2017-06-14,600
2017-06-15,600
2017-06-16,600
2017-06-17,600
2017-06-18,600
2017-06-19,600
2017-06-20,600
2017-06-21,600
2017-06-22,600
2017-06-23,600
2017-06-24,600
2017-06-25,600
2017-06-26,600
2017-06-27,612
2017-06-28,612
2017-06-29,612
2017-06-30,612
2017-07-01,612
2017-07-02,612
2017-07-03,612
2017-07-04,612
2017-07-05,612
2017-07-06,612
2017-07-07,612
2017-07-08,612
2017-07-13,612
2017-07-14,612
2017-07-15,612
2017-07-16,605
2017-07-17,605
2017-07-18,605
2017-07-19,605
2017-07-20,605
2017-07-21,605
2017-07-22,605
2017-07-23,605
2017-07-24,605
2017-07-25,605
2017-07-26,605
2017-07-27,605
