date_obj,Yew%20shortbow price
2015-03-26,340
2015-03-27,340
2015-03-28,331
2015-03-29,329
2015-03-30,319
2015-03-31,325
2015-04-01,331
2015-04-02,337
2015-04-03,343
2015-04-04,341
2015-04-05,329
2015-04-06,321
2015-04-07,331
2015-04-08,331
2015-04-09,323
2015-04-10,333
2015-04-11,332
2015-04-12,342
2015-04-13,337
2015-04-14,329
2015-04-15,325
2015-04-16,316
2015-04-17,317
2015-04-18,321
2015-04-19,324
2015-04-20,324
2015-04-21,334
2015-04-22,337
2015-04-23,331
2015-04-24,336
2015-04-25,335
2015-04-26,334
2015-04-27,337
2015-04-28,331
2015-04-29,331
2015-04-30,332
2015-05-01,328
2015-05-02,329
2015-05-03,329
2015-05-04,333
2015-05-05,327
2015-05-06,318
2015-05-07,306
2015-05-08,303
2015-05-09,304
2015-05-10,305
2015-05-11,305
2015-05-12,310
2015-05-13,320
2015-05-14,332
2015-05-15,340
2015-05-16,333
2015-05-17,332
2015-05-18,344
2015-05-19,348
2015-05-20,348
2015-05-21,346
2015-05-22,334
2015-05-23,335
2015-05-24,335
2015-05-25,347
2015-05-26,344
2015-05-27,350
2015-05-28,345
2015-05-29,334
2015-05-30,330
2015-05-31,335
2015-06-01,336
2015-06-02,336
2015-06-03,342
2015-06-04,354
2015-06-05,367
2015-06-06,374
2015-06-07,391
2015-06-08,408
2015-06-09,401
2015-06-10,394
2015-06-11,392
2015-06-12,400
2015-06-13,400
2015-06-14,387
2015-06-15,383
2015-06-16,382
2015-06-17,391
2015-06-18,394
2015-06-19,404
2015-06-20,400
2015-06-21,403
2015-06-22,408
2015-06-23,404
2015-06-24,407
2015-06-25,407
2015-06-26,398
2015-06-27,397
2015-06-28,392
2015-06-29,386
2015-06-30,381
2015-07-01,377
2015-07-02,377
2015-07-03,383
2015-07-04,384
2015-07-05,384
2015-07-06,368
2015-07-07,368
2015-07-08,356
2015-07-09,356
2015-07-10,361
2015-07-11,351
2015-07-12,347
2015-07-13,337
2015-07-14,339
2015-07-15,338
2015-07-16,339
2015-07-17,337
2015-07-18,335
2015-07-19,339
2015-07-20,342
2015-07-21,354
2015-07-22,360
2015-07-23,360
2015-07-24,365
2015-07-25,372
2015-07-26,380
2015-07-27,390
2015-07-28,398
2015-07-29,393
2015-07-30,397
2015-07-31,404
2015-08-01,401
2015-08-02,404
2015-08-03,395
2015-08-04,393
2015-08-05,393
2015-08-06,401
2015-08-07,409
2015-08-08,409
2015-08-09,401
2015-08-10,391
2015-08-11,379
2015-08-12,379
2015-08-13,383
2015-08-14,391
2015-08-15,396
2015-08-16,380
2015-08-17,377
2015-08-18,373
2015-08-19,376
2015-08-20,378
2015-08-21,379
2015-08-22,376
2015-08-23,372
2015-08-24,374
2015-08-25,374
2015-08-26,370
